"date","Estado","Sigla","C6_Flag","name","Measure"
2020-01-01,"Acre","AC",NA,"Sem medida",1
2020-01-01,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-01,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-01,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-01,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-02,"Acre","AC",NA,"Sem medida",1
2020-01-02,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-02,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-02,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-02,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-03,"Acre","AC",NA,"Sem medida",1
2020-01-03,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-03,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-03,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-03,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-04,"Acre","AC",NA,"Sem medida",1
2020-01-04,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-04,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-04,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-04,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-05,"Acre","AC",NA,"Sem medida",1
2020-01-05,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-05,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-05,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-05,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-06,"Acre","AC",NA,"Sem medida",1
2020-01-06,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-06,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-06,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-06,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-07,"Acre","AC",NA,"Sem medida",1
2020-01-07,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-07,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-07,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-07,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-08,"Acre","AC",NA,"Sem medida",1
2020-01-08,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-08,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-08,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-08,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-09,"Acre","AC",NA,"Sem medida",1
2020-01-09,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-09,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-09,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-09,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-10,"Acre","AC",NA,"Sem medida",1
2020-01-10,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-10,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-10,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-10,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-11,"Acre","AC",NA,"Sem medida",1
2020-01-11,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-11,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-11,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-11,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-12,"Acre","AC",NA,"Sem medida",1
2020-01-12,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-12,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-12,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-12,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-13,"Acre","AC",NA,"Sem medida",1
2020-01-13,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-13,"Acre","AC",NA,"Algumas exceções
podem sair",NA
